iter	Passed	Remaining
0	0	65
1	1	68
2	2	66
3	2	59
4	3	60
5	4	63
6	4	61
7	5	60
8	6	61
9	6	60
10	7	60
11	8	59
12	8	60
13	9	58
14	10	58
15	10	57
16	11	56
17	12	58
18	13	56
19	14	57
20	15	57
21	15	56
22	16	55
23	17	55
24	18	54
25	18	53
26	19	53
27	20	52
28	21	53
29	22	52
30	23	51
31	23	50
32	24	49
33	25	48
34	25	48
35	26	47
36	27	47
37	28	46
38	29	45
39	30	45
40	30	44
41	31	42
42	31	42
43	32	41
44	33	40
45	34	39
46	34	39
47	35	38
48	36	37
49	36	36
50	37	35
51	37	34
52	38	34
53	39	33
54	39	32
55	40	31
56	40	30
57	41	30
58	42	29
59	43	28
60	43	28
61	44	27
62	45	26
63	45	25
64	46	25
65	47	24
66	48	23
67	48	22
68	49	22
69	49	21
70	50	20
71	51	19
72	51	19
73	52	18
74	53	17
75	54	17
76	55	16
77	55	15
78	56	15
79	57	14
80	58	13
81	59	12
82	59	12
83	60	11
84	61	10
85	61	10
86	62	9
87	62	8
88	63	7
89	64	7
90	66	6
91	67	5
92	68	5
93	69	4
94	70	3
95	70	2
96	71	2
97	71	1
98	72	0
99	73	0
